820274111665000 now, 820274111269400 lastTime,0.07722400000000618 delta
820274296461100 now, 820274296074200 lastTime,0.16499000000000646 delta
820274296889500 now, 820274296461100 lastTime,0.19069400000000647 delta
820274297282000 now, 820274296889500 lastTime,0.21424400000000648 delta
820274297842300 now, 820274297282000 lastTime,0.2478620000000065 delta
820274298259400 now, 820274297842300 lastTime,0.2728880000000065 delta
820274299204200 now, 820274298259400 lastTime,0.32957600000000653 delta
820274299615000 now, 820274299204200 lastTime,0.35422400000000653 delta
820274299997500 now, 820274299615000 lastTime,0.37717400000000656 delta
820274300387100 now, 820274299997500 lastTime,0.40055000000000657 delta
820274300777900 now, 820274300387100 lastTime,0.4239980000000066 delta
820274301168500 now, 820274300777900 lastTime,0.4474340000000066 delta
820274301559100 now, 820274301168500 lastTime,0.4708700000000066 delta
820274301946400 now, 820274301559100 lastTime,0.4941080000000066 delta
820274302337300 now, 820274301946400 lastTime,0.5175620000000066 delta
820274302724300 now, 820274302337300 lastTime,0.5407820000000066 delta
820274303115000 now, 820274302724300 lastTime,0.5642240000000066 delta
820274303510000 now, 820274303115000 lastTime,0.5879240000000067 delta
820274303899500 now, 820274303510000 lastTime,0.6112940000000067 delta
820274304287100 now, 820274303899500 lastTime,0.6345500000000067 delta
820274304677200 now, 820274304287100 lastTime,0.6579560000000068 delta
820274305065100 now, 820274304677200 lastTime,0.6812300000000068 delta
820274305530400 now, 820274305065100 lastTime,0.7091480000000068 delta
820274305913000 now, 820274305530400 lastTime,0.7321040000000067 delta
820274306391500 now, 820274305913000 lastTime,0.7608140000000068 delta
820274306726400 now, 820274306391500 lastTime,0.7809080000000068 delta
820274307114000 now, 820274306726400 lastTime,0.8041640000000069 delta
820274307504400 now, 820274307114000 lastTime,0.8275880000000069 delta
820274307939300 now, 820274307504400 lastTime,0.8536820000000068 delta
820274308364400 now, 820274307939300 lastTime,0.8791880000000069 delta
820274308751900 now, 820274308364400 lastTime,0.9024380000000068 delta
820274309141400 now, 820274308751900 lastTime,0.9258080000000068 delta
820274309531600 now, 820274309141400 lastTime,0.9492200000000068 delta
820274309917800 now, 820274309531600 lastTime,0.9723920000000068 delta
820274310307700 now, 820274309917800 lastTime,0.9957860000000068 delta
820274310696200 now, 820274310307700 lastTime,1.0190960000000069 delta
820274311088600 now, 820274310696200 lastTime,0.04264000000000689 delta
820274311474900 now, 820274311088600 lastTime,0.06581800000000688 delta
820274311863100 now, 820274311474900 lastTime,0.08911000000000688 delta
820274312251200 now, 820274311863100 lastTime,0.11239600000000688 delta
820274312640300 now, 820274312251200 lastTime,0.13574200000000688 delta
820274313031000 now, 820274312640300 lastTime,0.15918400000000688 delta
820274313420300 now, 820274313031000 lastTime,0.18254200000000687 delta
820274313809200 now, 820274313420300 lastTime,0.20587600000000686 delta
820274314201100 now, 820274313809200 lastTime,0.22939000000000687 delta
820274314602600 now, 820274314201100 lastTime,0.25348000000000687 delta
820274314996500 now, 820274314602600 lastTime,0.27711400000000685 delta
820274316183400 now, 820274314996500 lastTime,0.34832800000000685 delta
820274316782200 now, 820274316183400 lastTime,0.38425600000000687 delta
820274317171600 now, 820274316782200 lastTime,0.40762000000000687 delta
820274317589200 now, 820274317171600 lastTime,0.4326760000000069 delta
820274317955600 now, 820274317589200 lastTime,0.4546600000000069 delta
820274318338400 now, 820274317955600 lastTime,0.4776280000000069 delta
820274318727500 now, 820274318338400 lastTime,0.5009740000000069 delta
820274319118500 now, 820274318727500 lastTime,0.524434000000007 delta
820274319506900 now, 820274319118500 lastTime,0.5477380000000069 delta
820274319929600 now, 820274319506900 lastTime,0.5731000000000069 delta
820274320318400 now, 820274319929600 lastTime,0.596428000000007 delta
820274320845400 now, 820274320318400 lastTime,0.6280480000000069 delta
820274321232800 now, 820274320845400 lastTime,0.651292000000007 delta
820274321702500 now, 820274321232800 lastTime,0.679474000000007 delta
820274323306200 now, 820274321702500 lastTime,0.775696000000007 delta
820274323970700 now, 820274323306200 lastTime,0.815566000000007 delta
820274324440600 now, 820274323970700 lastTime,0.8437600000000071 delta
820274324876400 now, 820274324440600 lastTime,0.869908000000007 delta
820274325260000 now, 820274324876400 lastTime,0.892924000000007 delta
820274325645300 now, 820274325260000 lastTime,0.916042000000007 delta
820274325886800 now, 820274325645300 lastTime,0.930532000000007 delta
820274326014000 now, 820274325886800 lastTime,0.938164000000007 delta
820274326160800 now, 820274326014000 lastTime,0.946972000000007 delta
820274326558800 now, 820274326160800 lastTime,0.970852000000007 delta
820274326964400 now, 820274326558800 lastTime,0.9951880000000071 delta
820274327351700 now, 820274326964400 lastTime,1.0184260000000072 delta
820274327895000 now, 820274327351700 lastTime,0.05102400000000716 delta
820274328290600 now, 820274327895000 lastTime,0.07476000000000715 delta
820274328679300 now, 820274328290600 lastTime,0.09808200000000716 delta
820274329067000 now, 820274328679300 lastTime,0.12134400000000717 delta
820274329455000 now, 820274329067000 lastTime,0.14462400000000716 delta
820274329846100 now, 820274329455000 lastTime,0.16809000000000718 delta
820274330236700 now, 820274329846100 lastTime,0.1915260000000072 delta
820274330628500 now, 820274330236700 lastTime,0.2150340000000072 delta
820274331035300 now, 820274330628500 lastTime,0.2394420000000072 delta
820274331417500 now, 820274331035300 lastTime,0.2623740000000072 delta
820274331811300 now, 820274331417500 lastTime,0.2860020000000072 delta
820274332816300 now, 820274331811300 lastTime,0.3463020000000072 delta
820274333203800 now, 820274332816300 lastTime,0.3695520000000072 delta
820274333595600 now, 820274333203800 lastTime,0.3930600000000072 delta
820274333984500 now, 820274333595600 lastTime,0.4163940000000072 delta
820274334374800 now, 820274333984500 lastTime,0.4398120000000072 delta
820274334765600 now, 820274334374800 lastTime,0.4632600000000072 delta
820274335156500 now, 820274334765600 lastTime,0.4867140000000072 delta
820274335545500 now, 820274335156500 lastTime,0.5100540000000072 delta
820274336022700 now, 820274335545500 lastTime,0.5386860000000072 delta
820274336406300 now, 820274336022700 lastTime,0.5617020000000073 delta
820274336883300 now, 820274336406300 lastTime,0.5903220000000072 delta
820274337229900 now, 820274336883300 lastTime,0.6111180000000073 delta
820274337704800 now, 820274337229900 lastTime,0.6396120000000073 delta
820274338089100 now, 820274337704800 lastTime,0.6626700000000073 delta
820274338480900 now, 820274338089100 lastTime,0.6861780000000073 delta
820274338870900 now, 820274338480900 lastTime,0.7095780000000073 delta
820274339261400 now, 820274338870900 lastTime,0.7330080000000072 delta
820274339652300 now, 820274339261400 lastTime,0.7564620000000072 delta
820274340043600 now, 820274339652300 lastTime,0.7799400000000072 delta
820274340435300 now, 820274340043600 lastTime,0.8034420000000072 delta
820274340826100 now, 820274340435300 lastTime,0.8268900000000072 delta
820274341217700 now, 820274340826100 lastTime,0.8503860000000072 delta
820274341609900 now, 820274341217700 lastTime,0.8739180000000072 delta
820274341997600 now, 820274341609900 lastTime,0.8971800000000072 delta
820274342389600 now, 820274341997600 lastTime,0.9207000000000072 delta
820274342777500 now, 820274342389600 lastTime,0.9439740000000072 delta
820274343168400 now, 820274342777500 lastTime,0.9674280000000072 delta
820274343559200 now, 820274343168400 lastTime,0.9908760000000072 delta
820274343949600 now, 820274343559200 lastTime,1.014300000000007 delta
820274344340000 now, 820274343949600 lastTime,0.037724000000007085 delta
820274344731700 now, 820274344340000 lastTime,0.06122600000000709 delta
820274345122000 now, 820274344731700 lastTime,0.08464400000000709 delta
820274345520400 now, 820274345122000 lastTime,0.10854800000000708 delta
820274345915800 now, 820274345520400 lastTime,0.13227200000000708 delta
820274346392600 now, 820274345915800 lastTime,0.16088000000000707 delta
820274346741900 now, 820274346392600 lastTime,0.18183800000000708 delta
820274347138700 now, 820274346741900 lastTime,0.20564600000000707 delta
820274347531600 now, 820274347138700 lastTime,0.22922000000000708 delta
820274348059500 now, 820274347531600 lastTime,0.26089400000000706 delta
820274348462300 now, 820274348059500 lastTime,0.2850620000000071 delta
820274349279100 now, 820274348462300 lastTime,0.3340700000000071 delta
820274349915600 now, 820274349279100 lastTime,0.3722600000000071 delta
820274350311500 now, 820274349915600 lastTime,0.3960140000000071 delta
820274350704600 now, 820274350311500 lastTime,0.4196000000000071 delta
820274351529900 now, 820274350704600 lastTime,0.4691180000000071 delta
820274351870600 now, 820274351529900 lastTime,0.4895600000000071 delta
820274352260700 now, 820274351870600 lastTime,0.5129660000000071 delta
820274352654900 now, 820274352260700 lastTime,0.5366180000000071 delta
820274353058000 now, 820274352654900 lastTime,0.5608040000000072 delta
820274353449600 now, 820274353058000 lastTime,0.5843000000000071 delta
820274353846000 now, 820274353449600 lastTime,0.6080840000000072 delta
820274354238500 now, 820274353846000 lastTime,0.6316340000000071 delta
820274354635200 now, 820274354238500 lastTime,0.6554360000000071 delta
820274355031600 now, 820274354635200 lastTime,0.6792200000000072 delta
820274355425700 now, 820274355031600 lastTime,0.7028660000000071 delta
820274355820300 now, 820274355425700 lastTime,0.7265420000000071 delta
820274356217600 now, 820274355820300 lastTime,0.7503800000000072 delta
820274356614100 now, 820274356217600 lastTime,0.7741700000000071 delta
820274357010600 now, 820274356614100 lastTime,0.7979600000000071 delta
820274357405400 now, 820274357010600 lastTime,0.8216480000000072 delta
820274357859100 now, 820274357405400 lastTime,0.8488700000000071 delta
820274358248100 now, 820274357859100 lastTime,0.8722100000000071 delta
820274358646000 now, 820274358248100 lastTime,0.8960840000000071 delta
820274359039100 now, 820274358646000 lastTime,0.9196700000000071 delta
820274359434700 now, 820274359039100 lastTime,0.9434060000000071 delta
820274359828100 now, 820274359434700 lastTime,0.967010000000007 delta
820274360226000 now, 820274359828100 lastTime,0.990884000000007 delta
820274360621700 now, 820274360226000 lastTime,1.014626000000007 delta
820274361017700 now, 820274360621700 lastTime,0.038386000000006915 delta
820274361415700 now, 820274361017700 lastTime,0.06226600000000691 delta
820274361809000 now, 820274361415700 lastTime,0.08586400000000691 delta
820274362211100 now, 820274361809000 lastTime,0.10999000000000692 delta
820274362613600 now, 820274362211100 lastTime,0.13414000000000692 delta
820274363032500 now, 820274362613600 lastTime,0.1592740000000069 delta
820274363436100 now, 820274363032500 lastTime,0.18349000000000693 delta
820274363838000 now, 820274363436100 lastTime,0.20760400000000692 delta
820274364239300 now, 820274363838000 lastTime,0.23168200000000694 delta
820274364719800 now, 820274364239300 lastTime,0.26051200000000696 delta
820274365170700 now, 820274364719800 lastTime,0.287566000000007 delta
820274366205700 now, 820274365170700 lastTime,0.34966600000000697 delta
820274366871600 now, 820274366205700 lastTime,0.38962000000000696 delta
820274367253500 now, 820274366871600 lastTime,0.41253400000000695 delta
820274367654300 now, 820274367253500 lastTime,0.43658200000000696 delta
820274368055000 now, 820274367654300 lastTime,0.460624000000007 delta
820274368571500 now, 820274368055000 lastTime,0.491614000000007 delta
820274368972600 now, 820274368571500 lastTime,0.515680000000007 delta
820274369375100 now, 820274368972600 lastTime,0.539830000000007 delta
820274369777000 now, 820274369375100 lastTime,0.563944000000007 delta
820274370178500 now, 820274369777000 lastTime,0.588034000000007 delta
820274370578800 now, 820274370178500 lastTime,0.612052000000007 delta
820274370981600 now, 820274370578800 lastTime,0.636220000000007 delta
820274371382200 now, 820274370981600 lastTime,0.6602560000000071 delta
820274371785900 now, 820274371382200 lastTime,0.684478000000007 delta
820274372188700 now, 820274371785900 lastTime,0.708646000000007 delta
820274372591300 now, 820274372188700 lastTime,0.732802000000007 delta
820274372993100 now, 820274372591300 lastTime,0.756910000000007 delta
820274373395900 now, 820274372993100 lastTime,0.7810780000000069 delta
820274373798600 now, 820274373395900 lastTime,0.805240000000007 delta
820274374200800 now, 820274373798600 lastTime,0.829372000000007 delta
820274374599600 now, 820274374200800 lastTime,0.8533000000000069 delta
820274375002500 now, 820274374599600 lastTime,0.877474000000007 delta
820274375471200 now, 820274375002500 lastTime,0.905596000000007 delta
820274375900200 now, 820274375471200 lastTime,0.9313360000000069 delta
820274376468900 now, 820274375900200 lastTime,0.9654580000000069 delta
820274376995100 now, 820274376468900 lastTime,0.997030000000007 delta
820274377429400 now, 820274376995100 lastTime,1.0230880000000069 delta
820274377848500 now, 820274377429400 lastTime,0.04823400000000688 delta
820274378345000 now, 820274377848500 lastTime,0.07802400000000688 delta
820274378722000 now, 820274378345000 lastTime,0.10064400000000688 delta
820274379119800 now, 820274378722000 lastTime,0.12451200000000688 delta
820274379520700 now, 820274379119800 lastTime,0.1485660000000069 delta
820274379895200 now, 820274379520700 lastTime,0.17103600000000688 delta
820274380298000 now, 820274379895200 lastTime,0.19520400000000687 delta
820274380761100 now, 820274380298000 lastTime,0.22299000000000688 delta
820274381611400 now, 820274380761100 lastTime,0.27400800000000686 delta
820274382309200 now, 820274381611400 lastTime,0.3158760000000069 delta
820274383250100 now, 820274382309200 lastTime,0.3723300000000069 delta
820274383898300 now, 820274383250100 lastTime,0.41122200000000686 delta
820274384300600 now, 820274383898300 lastTime,0.43536000000000685 delta
820274384697400 now, 820274384300600 lastTime,0.45916800000000685 delta
820274385098700 now, 820274384697400 lastTime,0.48324600000000684 delta
820274385556100 now, 820274385098700 lastTime,0.5106900000000069 delta
820274385908600 now, 820274385556100 lastTime,0.5318400000000069 delta
820274386340200 now, 820274385908600 lastTime,0.5577360000000069 delta
820274386738300 now, 820274386340200 lastTime,0.5816220000000069 delta
820274387138100 now, 820274386738300 lastTime,0.6056100000000069 delta
820274387539000 now, 820274387138100 lastTime,0.6296640000000069 delta
820274388018300 now, 820274387539000 lastTime,0.6584220000000068 delta
820274388503900 now, 820274388018300 lastTime,0.6875580000000069 delta
820274388896600 now, 820274388503900 lastTime,0.7111200000000069 delta
820274389297000 now, 820274388896600 lastTime,0.7351440000000069 delta
820274389694700 now, 820274389297000 lastTime,0.759006000000007 delta
820274390097300 now, 820274389694700 lastTime,0.7831620000000069 delta
820274390497500 now, 820274390097300 lastTime,0.8071740000000069 delta
820274390897100 now, 820274390497500 lastTime,0.8311500000000069 delta
820274391295700 now, 820274390897100 lastTime,0.855066000000007 delta
820274391694000 now, 820274391295700 lastTime,0.878964000000007 delta
820274392109700 now, 820274391694000 lastTime,0.903906000000007 delta
820274392493300 now, 820274392109700 lastTime,0.926922000000007 delta
820274392894500 now, 820274392493300 lastTime,0.950994000000007 delta
820274393294800 now, 820274392894500 lastTime,0.975012000000007 delta
820274393693000 now, 820274393294800 lastTime,0.998904000000007 delta
820274394091300 now, 820274393693000 lastTime,1.022802000000007 delta
820274394490800 now, 820274394091300 lastTime,0.0467720000000071 delta
820274394891900 now, 820274394490800 lastTime,0.0708380000000071 delta
820274395291200 now, 820274394891900 lastTime,0.0947960000000071 delta
820274395686900 now, 820274395291200 lastTime,0.1185380000000071 delta
820274396081200 now, 820274395686900 lastTime,0.1421960000000071 delta
820274396476600 now, 820274396081200 lastTime,0.1659200000000071 delta
820274396870900 now, 820274396476600 lastTime,0.1895780000000071 delta
820274397340000 now, 820274396870900 lastTime,0.2177240000000071 delta
820274397776500 now, 820274397340000 lastTime,0.2439140000000071 delta
820274398294600 now, 820274397776500 lastTime,0.2750000000000071 delta
820274398686800 now, 820274398294600 lastTime,0.2985320000000071 delta
820274399808500 now, 820274398686800 lastTime,0.3658340000000071 delta
820274400162700 now, 820274399808500 lastTime,0.3870860000000071 delta
820274400553900 now, 820274400162700 lastTime,0.4105580000000071 delta
820274400948500 now, 820274400553900 lastTime,0.4342340000000071 delta
820274401341600 now, 820274400948500 lastTime,0.4578200000000071 delta
820274401738200 now, 820274401341600 lastTime,0.4816160000000071 delta
820274402132100 now, 820274401738200 lastTime,0.5052500000000071 delta
820274402532400 now, 820274402132100 lastTime,0.5292680000000071 delta
820274402927400 now, 820274402532400 lastTime,0.5529680000000071 delta
820274403320300 now, 820274402927400 lastTime,0.5765420000000071 delta
820274403715600 now, 820274403320300 lastTime,0.6002600000000071 delta
820274404109600 now, 820274403715600 lastTime,0.6239000000000071 delta
820274404502900 now, 820274404109600 lastTime,0.6474980000000071 delta
820274404898400 now, 820274404502900 lastTime,0.6712280000000072 delta
820274405291100 now, 820274404898400 lastTime,0.6947900000000071 delta
820274405686400 now, 820274405291100 lastTime,0.7185080000000071 delta
820274406079900 now, 820274405686400 lastTime,0.7421180000000072 delta
820274406475200 now, 820274406079900 lastTime,0.7658360000000072 delta
820274406904700 now, 820274406475200 lastTime,0.7916060000000071 delta
820274407297500 now, 820274406904700 lastTime,0.8151740000000072 delta
820274407773800 now, 820274407297500 lastTime,0.8437520000000072 delta
820274408179900 now, 820274407773800 lastTime,0.8681180000000072 delta
820274408570600 now, 820274408179900 lastTime,0.8915600000000071 delta
820274408969800 now, 820274408570600 lastTime,0.9155120000000071 delta
820274409360500 now, 820274408969800 lastTime,0.9389540000000071 delta
820274409755300 now, 820274409360500 lastTime,0.9626420000000071 delta
820274410149700 now, 820274409755300 lastTime,0.9863060000000071 delta
820274410543600 now, 820274410149700 lastTime,1.0099400000000072 delta
820274410937500 now, 820274410543600 lastTime,0.03357400000000717 delta
820274411331400 now, 820274410937500 lastTime,0.05720800000000717 delta
820274411725200 now, 820274411331400 lastTime,0.08083600000000717 delta
820274412116000 now, 820274411725200 lastTime,0.10428400000000716 delta
820274412507100 now, 820274412116000 lastTime,0.12775000000000716 delta
820274412971700 now, 820274412507100 lastTime,0.15562600000000718 delta
820274413360800 now, 820274412971700 lastTime,0.17897200000000718 delta
820274413750400 now, 820274413360800 lastTime,0.2023480000000072 delta
820274414137200 now, 820274413750400 lastTime,0.2255560000000072 delta
820274414534300 now, 820274414137200 lastTime,0.2493820000000072 delta
820274414930800 now, 820274414534300 lastTime,0.2731720000000072 delta
820274416047400 now, 820274414930800 lastTime,0.3401680000000072 delta
820274416714700 now, 820274416047400 lastTime,0.3802060000000072 delta
820274417137800 now, 820274416714700 lastTime,0.4055920000000072 delta
820274417576500 now, 820274417137800 lastTime,0.43191400000000724 delta
820274417929400 now, 820274417576500 lastTime,0.45308800000000726 delta
820274418317400 now, 820274417929400 lastTime,0.4763680000000073 delta
820274418706800 now, 820274418317400 lastTime,0.4997320000000073 delta
820274419097700 now, 820274418706800 lastTime,0.5231860000000073 delta
820274419523300 now, 820274419097700 lastTime,0.5487220000000073 delta
820274419880400 now, 820274419523300 lastTime,0.5701480000000072 delta
820274420270200 now, 820274419880400 lastTime,0.5935360000000072 delta
820274420662000 now, 820274420270200 lastTime,0.6170440000000071 delta
820274421051600 now, 820274420662000 lastTime,0.6404200000000071 delta
820274421483000 now, 820274421051600 lastTime,0.6663040000000071 delta
820274421834700 now, 820274421483000 lastTime,0.6874060000000071 delta
820274422224800 now, 820274421834700 lastTime,0.7108120000000071 delta
820274422616500 now, 820274422224800 lastTime,0.7343140000000071 delta
820274423009000 now, 820274422616500 lastTime,0.7578640000000071 delta
820274423397800 now, 820274423009000 lastTime,0.7811920000000071 delta
820274423789200 now, 820274423397800 lastTime,0.804676000000007 delta
820274424180400 now, 820274423789200 lastTime,0.8281480000000071 delta
820274424581100 now, 820274424180400 lastTime,0.8521900000000071 delta
820274424971500 now, 820274424581100 lastTime,0.8756140000000071 delta
820274425420500 now, 820274424971500 lastTime,0.9025540000000071 delta
820274425824000 now, 820274425420500 lastTime,0.926764000000007 delta
820274426253200 now, 820274425824000 lastTime,0.952516000000007 delta
820274426810100 now, 820274426253200 lastTime,0.9859300000000071 delta
820274427134900 now, 820274426810100 lastTime,1.005418000000007 delta
820274427515400 now, 820274427134900 lastTime,0.028248000000007028 delta
820274428000500 now, 820274427515400 lastTime,0.057354000000007024 delta
820274428474300 now, 820274428000500 lastTime,0.08578200000000702 delta
820274428831800 now, 820274428474300 lastTime,0.10723200000000702 delta
820274429228600 now, 820274428831800 lastTime,0.131040000000007 delta
820274429618000 now, 820274429228600 lastTime,0.154404000000007 delta
820274430009500 now, 820274429618000 lastTime,0.17789400000000702 delta
820274430399100 now, 820274430009500 lastTime,0.20127000000000703 delta
820274430787800 now, 820274430399100 lastTime,0.22459200000000704 delta
820274431184400 now, 820274430787800 lastTime,0.24838800000000705 delta
820274431582900 now, 820274431184400 lastTime,0.27229800000000703 delta
820274432245900 now, 820274431582900 lastTime,0.312078000000007 delta
820274432637600 now, 820274432245900 lastTime,0.33558000000000704 delta
820274433069700 now, 820274432637600 lastTime,0.36150600000000704 delta
820274433458800 now, 820274433069700 lastTime,0.384852000000007 delta
820274433853900 now, 820274433458800 lastTime,0.408558000000007 delta
820274434287800 now, 820274433853900 lastTime,0.43459200000000703 delta
820274434678500 now, 820274434287800 lastTime,0.45803400000000705 delta
820274435070700 now, 820274434678500 lastTime,0.48156600000000704 delta
820274435463700 now, 820274435070700 lastTime,0.5051460000000071 delta
820274435855400 now, 820274435463700 lastTime,0.5286480000000071 delta
820274436291400 now, 820274435855400 lastTime,0.5548080000000071 delta
820274436641600 now, 820274436291400 lastTime,0.5758200000000071 delta
820274437032400 now, 820274436641600 lastTime,0.5992680000000071 delta
820274437427300 now, 820274437032400 lastTime,0.6229620000000071 delta
820274437882600 now, 820274437427300 lastTime,0.6502800000000071 delta
820274438342500 now, 820274437882600 lastTime,0.6778740000000071 delta
820274438735400 now, 820274438342500 lastTime,0.7014480000000071 delta
820274439127500 now, 820274438735400 lastTime,0.7249740000000071 delta
820274439518500 now, 820274439127500 lastTime,0.7484340000000071 delta
820274439912600 now, 820274439518500 lastTime,0.7720800000000072 delta
820274440303900 now, 820274439912600 lastTime,0.7955580000000072 delta
820274440693900 now, 820274440303900 lastTime,0.8189580000000072 delta
820274441088800 now, 820274440693900 lastTime,0.8426520000000072 delta
820274441480200 now, 820274441088800 lastTime,0.8661360000000071 delta
820274441874300 now, 820274441480200 lastTime,0.8897820000000072 delta
820274442266200 now, 820274441874300 lastTime,0.9132960000000072 delta
820274442660700 now, 820274442266200 lastTime,0.9369660000000072 delta
820274443051000 now, 820274442660700 lastTime,0.9603840000000072 delta
820274443442000 now, 820274443051000 lastTime,0.9838440000000073 delta
820274444065400 now, 820274443442000 lastTime,1.0212480000000073 delta
820274444381300 now, 820274444065400 lastTime,0.04020200000000726 delta
820274444770300 now, 820274444381300 lastTime,0.06354200000000726 delta
820274445160200 now, 820274444770300 lastTime,0.08693600000000726 delta
820274445564500 now, 820274445160200 lastTime,0.11119400000000726 delta
820274445965200 now, 820274445564500 lastTime,0.13523600000000727 delta
820274446365800 now, 820274445965200 lastTime,0.15927200000000727 delta
820274446803600 now, 820274446365800 lastTime,0.18554000000000725 delta
820274447168300 now, 820274446803600 lastTime,0.20742200000000727 delta
820274447570300 now, 820274447168300 lastTime,0.23154200000000727 delta
820274448230100 now, 820274447570300 lastTime,0.27113000000000725 delta
820274448609100 now, 820274448230100 lastTime,0.29387000000000724 delta
820274449724000 now, 820274448609100 lastTime,0.36076400000000725 delta
820274450364000 now, 820274449724000 lastTime,0.39916400000000724 delta
820274450766400 now, 820274450364000 lastTime,0.42330800000000723 delta
820274451169200 now, 820274450766400 lastTime,0.44747600000000726 delta
820274451570700 now, 820274451169200 lastTime,0.47156600000000726 delta
820274451974100 now, 820274451570700 lastTime,0.49577000000000726 delta
820274452376600 now, 820274451974100 lastTime,0.5199200000000073 delta
820274452779600 now, 820274452376600 lastTime,0.5441000000000072 delta
820274453185900 now, 820274452779600 lastTime,0.5684780000000073 delta
820274453588400 now, 820274453185900 lastTime,0.5926280000000073 delta
820274453989400 now, 820274453588400 lastTime,0.6166880000000072 delta
820274454391700 now, 820274453989400 lastTime,0.6408260000000072 delta
820274454791700 now, 820274454391700 lastTime,0.6648260000000072 delta
820274455194000 now, 820274454791700 lastTime,0.6889640000000072 delta
820274455597500 now, 820274455194000 lastTime,0.7131740000000072 delta
820274456037800 now, 820274455597500 lastTime,0.7395920000000072 delta
820274456402000 now, 820274456037800 lastTime,0.7614440000000072 delta
820274456804700 now, 820274456402000 lastTime,0.7856060000000072 delta
820274457207600 now, 820274456804700 lastTime,0.8097800000000073 delta
820274457665600 now, 820274457207600 lastTime,0.8372600000000072 delta
820274458093400 now, 820274457665600 lastTime,0.8629280000000072 delta
820274458495600 now, 820274458093400 lastTime,0.8870600000000073 delta
820274458895500 now, 820274458495600 lastTime,0.9110540000000072 delta
820274459298600 now, 820274458895500 lastTime,0.9352400000000073 delta
820274459812300 now, 820274459298600 lastTime,0.9660620000000073 delta
820274460209700 now, 820274459812300 lastTime,0.9899060000000073 delta
820274460616200 now, 820274460209700 lastTime,1.0142960000000072 delta
820274461012900 now, 820274460616200 lastTime,0.038098000000007196 delta
820274461415700 now, 820274461012900 lastTime,0.0622660000000072 delta
820274461815600 now, 820274461415700 lastTime,0.08626000000000719 delta
820274462209500 now, 820274461815600 lastTime,0.1098940000000072 delta
820274462605500 now, 820274462209500 lastTime,0.13365400000000718 delta
820274463001600 now, 820274462605500 lastTime,0.1574200000000072 delta
820274463397500 now, 820274463001600 lastTime,0.1811740000000072 delta
820274463791200 now, 820274463397500 lastTime,0.2047960000000072 delta
820274464188400 now, 820274463791200 lastTime,0.2286280000000072 delta
820274464595100 now, 820274464188400 lastTime,0.2530300000000072 delta
820274465003800 now, 820274464595100 lastTime,0.2775520000000072 delta
820274465810100 now, 820274465003800 lastTime,0.32593000000000716 delta
820274466421300 now, 820274465810100 lastTime,0.36260200000000714 delta
820274466816200 now, 820274466421300 lastTime,0.38629600000000713 delta
820274467211700 now, 820274466816200 lastTime,0.4100260000000071 delta
820274467609000 now, 820274467211700 lastTime,0.43386400000000713 delta
820274468039900 now, 820274467609000 lastTime,0.4597180000000071 delta
820274468445700 now, 820274468039900 lastTime,0.4840660000000071 delta
820274468835000 now, 820274468445700 lastTime,0.5074240000000071 delta
820274469232500 now, 820274468835000 lastTime,0.5312740000000071 delta
820274469627000 now, 820274469232500 lastTime,0.5549440000000071 delta
820274470024900 now, 820274469627000 lastTime,0.578818000000007 delta
820274470418600 now, 820274470024900 lastTime,0.6024400000000071 delta
820274470814800 now, 820274470418600 lastTime,0.6262120000000071 delta
820274471213300 now, 820274470814800 lastTime,0.6501220000000071 delta
820274471608400 now, 820274471213300 lastTime,0.6738280000000071 delta
820274472004100 now, 820274471608400 lastTime,0.6975700000000071 delta
820274472401200 now, 820274472004100 lastTime,0.7213960000000071 delta
820274472795300 now, 820274472401200 lastTime,0.7450420000000071 delta
820274473193300 now, 820274472795300 lastTime,0.7689220000000071 delta
820274473589300 now, 820274473193300 lastTime,0.7926820000000071 delta
820274473983300 now, 820274473589300 lastTime,0.8163220000000071 delta
820274474379100 now, 820274473983300 lastTime,0.8400700000000071 delta
820274474775100 now, 820274474379100 lastTime,0.8638300000000071 delta
820274475253700 now, 820274474775100 lastTime,0.8925460000000071 delta
820274475634600 now, 820274475253700 lastTime,0.9154000000000071 delta
820274476067300 now, 820274475634600 lastTime,0.9413620000000071 delta
820274476427800 now, 820274476067300 lastTime,0.9629920000000072 delta
820274476825900 now, 820274476427800 lastTime,0.9868780000000071 delta
820274477222100 now, 820274476825900 lastTime,1.0106500000000072 delta
820274477696300 now, 820274477222100 lastTime,0.03910200000000716 delta
820274478132800 now, 820274477696300 lastTime,0.06529200000000716 delta
820274478659900 now, 820274478132800 lastTime,0.09691800000000717 delta
820274478934800 now, 820274478659900 lastTime,0.11341200000000717 delta
820274479377300 now, 820274478934800 lastTime,0.13996200000000716 delta
820274479769200 now, 820274479377300 lastTime,0.16347600000000717 delta
820274480175300 now, 820274479769200 lastTime,0.18784200000000717 delta
820274480582100 now, 820274480175300 lastTime,0.21225000000000718 delta
820274480941800 now, 820274480582100 lastTime,0.23383200000000717 delta
820274481390300 now, 820274480941800 lastTime,0.2607420000000072 delta
820274481771700 now, 820274481390300 lastTime,0.2836260000000072 delta
820274482557200 now, 820274481771700 lastTime,0.3307560000000072 delta
820274483105200 now, 820274482557200 lastTime,0.36363600000000723 delta
820274483437100 now, 820274483105200 lastTime,0.3835500000000072 delta
820274484046400 now, 820274483437100 lastTime,0.4201080000000072 delta
